d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	
0	0.128662	0.0918394	0.0693442	0.0548924	0.0450792	0.037856	0.0326617	0.0285495	0.0254895	0.0228917	0.0207534	0.0189162	0.017451	0.016424	0.0151679	0.0142334	0.0135106	0.0128058	0.0119557	0.0115654	0.0109795	0.0105581	0.0100979	0.00966939	0.00914085	0.00869514	0.00846659	0.00817356	0.00788688	0.00755418	0.00723938	0.00708714	0.00696048	0.00668762	0.00644386	0.00615926	0.00617346	0.00609796	0.00603387	0.00590613	0.00567843	0.00554516	0.00529796	0.00514202	0.0050175	0.00490891	0.00489373	0.00461443	0.00451862	0.00452071	0.00449967	0.00439059	0.0043053	0.00416739	0.00409198	0.00416482	0.00415987	0.00400178	0.00386967	0.00383836	0.00364227	0.00382597	0.00360524	0.00355915	0.00346356	0.00357759	0.00336586	0.00332747	0.00329675	0.00325324	0.00327463	0.00318254	0.00316027	0.00308268	0.00304569	0.002985	0.0028487	0.00291079	0.00290508	0	
0	0.130401	0.0926332	0.069622	0.0549639	0.044782	0.0377148	0.0325168	0.0284438	0.0253233	0.0226544	0.0208836	0.0189444	0.0174394	0.0163667	0.0151161	0.0144107	0.0134812	0.0127551	0.0119833	0.0114035	0.0108661	0.0102825	0.00985505	0.00934913	0.00903216	0.0088102	0.0084974	0.00799328	0.00768896	0.00748474	0.00732066	0.00718159	0.00703043	0.00679155	0.00643203	0.00628939	0.00612147	0.00601779	0.00596194	0.00553964	0.00563551	0.00544148	0.0052478	0.00528234	0.0050375	0.00495446	0.00489587	0.00481141	0.00464753	0.00446052	0.00440611	0.00430018	0.00426357	0.00425331	0.00401205	0.00401197	0.0040043	0.00384282	0.00378817	0.00382254	0.00372866	0.0037552	0.00366751	0.00369137	0.00341009	0.00355849	0.00338168	0.00332563	0.00337121	0.00321268	0.00321799	0.00319746	0.00317401	0.00310655	0.00295295	0.00296365	0.00301392	0.00297181	0.00279461	0	
0	0.126225	0.0909695	0.0693984	0.0550428	0.0449999	0.038191	0.0327783	0.0287617	0.0255788	0.0228921	0.0207916	0.0191728	0.0178359	0.0164276	0.0151571	0.0143829	0.0133833	0.0129158	0.0119076	0.0115973	0.0108938	0.0103761	0.0101957	0.00969072	0.00915856	0.00891142	0.00841424	0.00823063	0.00799185	0.00758258	0.00748737	0.00701501	0.00687521	0.00673105	0.00659196	0.00643512	0.00620352	0.00604678	0.00582407	0.00567651	0.00550928	0.00545082	0.00535426	0.00527496	0.00513236	0.00496546	0.00491176	0.00474491	0.00468255	0.00464888	0.00452469	0.0043761	0.00438904	0.00432314	0.00421807	0.00416007	0.00417847	0.00387544	0.00392668	0.00388859	0.00370021	0.00371277	0.00355134	0.00362244	0.00346592	0.003459	0.00340251	0.00338776	0.00337191	0.00319391	0.00323059	0.00322109	0.00321653	0.00317988	0.00304773	0.00313929	0.00301837	0.00287732	0.00292408	0	
0	0.132016	0.0930017	0.0701591	0.0550953	0.0446715	0.0375034	0.0324725	0.0282583	0.0253519	0.0227042	0.0204776	0.0188945	0.0173469	0.0162919	0.01506	0.0139693	0.0133322	0.0124283	0.0118995	0.0112546	0.0107103	0.0103007	0.00998865	0.00954019	0.00909511	0.00875617	0.00837815	0.00818602	0.00762876	0.00765968	0.00738874	0.00732951	0.00686589	0.00671171	0.00645103	0.00644733	0.00612881	0.00571709	0.00593073	0.00573431	0.00560668	0.00521374	0.00525619	0.00528868	0.00499523	0.00498608	0.00487362	0.00490379	0.0046618	0.00459226	0.00425141	0.00446168	0.00429219	0.00416451	0.0040994	0.00407451	0.00405443	0.00389277	0.00380549	0.00372645	0.00371393	0.00353541	0.00359133	0.00340285	0.0034556	0.00348707	0.00341576	0.00338419	0.00311716	0.0032561	0.00327681	0.00314593	0.00309521	0.00298855	0.00304517	0.00306319	0.0029582	0.00287241	0.00285615	0	
0	0.132005	0.0932067	0.069805	0.0547865	0.0447544	0.0375162	0.0323887	0.0285054	0.0252553	0.0225166	0.020816	0.0187673	0.0174575	0.0161897	0.0152022	0.014273	0.0134746	0.0126924	0.0118627	0.0110516	0.0107096	0.0101905	0.00976687	0.00940938	0.00907799	0.00874048	0.0084497	0.00818075	0.00771639	0.00761214	0.00729019	0.0070594	0.00679484	0.00675977	0.00652233	0.00631133	0.00624023	0.00601306	0.00576989	0.00572588	0.00546547	0.0054451	0.00534326	0.00522009	0.00505588	0.00499656	0.00480523	0.00468926	0.00466701	0.00456086	0.00434603	0.00437753	0.00425671	0.00422515	0.00413084	0.00401051	0.00391469	0.00386886	0.00379941	0.00357867	0.00369509	0.00364135	0.00362807	0.00357276	0.0035646	0.00343174	0.00345526	0.00324029	0.00340616	0.00315069	0.00315307	0.00316473	0.00315565	0.0031077	0.00300645	0.00303982	0.00294844	0.00306687	0.00294692	0	
0	0.136843	0.0946287	0.0700644	0.0545422	0.0445192	0.037561	0.0319534	0.0280312	0.0248927	0.0223184	0.0205107	0.0187825	0.017348	0.0160936	0.0148599	0.0140058	0.0131716	0.0124561	0.0118496	0.0112374	0.0107433	0.0102082	0.00987972	0.00933261	0.00903168	0.00856896	0.00830433	0.00802883	0.00759483	0.00767865	0.00720718	0.00706459	0.00693811	0.00671333	0.00637718	0.00618368	0.00603245	0.0057547	0.00574463	0.00558038	0.00547331	0.0052462	0.00524592	0.00513714	0.00498723	0.00487731	0.00496966	0.00471067	0.00450142	0.00464557	0.00436733	0.00427229	0.00426152	0.00411142	0.00412443	0.00395684	0.00397177	0.00381628	0.00384633	0.00380504	0.0036541	0.0035609	0.00353447	0.00357519	0.0034384	0.00337446	0.00342261	0.00329522	0.00324984	0.00313399	0.00311012	0.00306764	0.00305638	0.0030989	0.0029889	0.00282478	0.00288725	0.00284854	0.00291399	0	
0	0.130066	0.0927556	0.0699714	0.0548551	0.0448462	0.0373781	0.0323636	0.0284017	0.0254557	0.0227724	0.0206542	0.0191528	0.0176312	0.016268	0.0151508	0.0142591	0.0134281	0.0126208	0.0119911	0.0114925	0.0109186	0.0103915	0.00984663	0.00956466	0.00913268	0.00865085	0.00845033	0.00812382	0.00789761	0.00765484	0.00735029	0.00715404	0.00676977	0.00680282	0.00652524	0.00640118	0.00593336	0.00592819	0.00573895	0.00576882	0.00547569	0.00534255	0.00508993	0.00523022	0.00505063	0.00501249	0.00475797	0.00475314	0.00459497	0.00463127	0.00445518	0.00430201	0.00427249	0.00411851	0.00420819	0.00412383	0.00396215	0.00400467	0.00387305	0.00392148	0.00373202	0.00364254	0.00370853	0.00359579	0.00347706	0.00339919	0.00346958	0.00349652	0.00324646	0.0032204	0.00331201	0.00316855	0.00309494	0.00298612	0.00303963	0.00297461	0.00300821	0.00292186	0.00280685	0	
0	0.127019	0.0916697	0.0696124	0.0549026	0.0450916	0.0379922	0.0326977	0.028489	0.025482	0.0227883	0.0207868	0.0189041	0.0176563	0.0165849	0.0151787	0.0143256	0.0135149	0.0128792	0.0121241	0.0115156	0.0109165	0.0104045	0.0100863	0.0094848	0.00914088	0.00873364	0.00850424	0.0081569	0.00791165	0.00763967	0.00744953	0.00728515	0.00702488	0.00660892	0.00662763	0.00625446	0.00613321	0.00601128	0.00585887	0.00577415	0.00552557	0.00541711	0.00530642	0.00523665	0.00522198	0.0049352	0.00488608	0.00479017	0.00466155	0.00454086	0.00459225	0.00438651	0.00434008	0.00422366	0.00406446	0.00405559	0.00403759	0.0039221	0.00394094	0.00391613	0.0037571	0.00369497	0.00359265	0.00352197	0.00344683	0.00358773	0.00350822	0.00332436	0.00324627	0.0031968	0.00324016	0.00315724	0.00311937	0.00316879	0.0030874	0.00304028	0.00301599	0.00308694	0.00298444	0	
0	0.132451	0.0934498	0.0698429	0.0548146	0.0446385	0.0376629	0.032424	0.0282719	0.0252854	0.0224194	0.0207191	0.0189234	0.0173841	0.0160992	0.0151616	0.0141743	0.0133282	0.0125183	0.0119458	0.0112145	0.0108613	0.010381	0.00984374	0.00961617	0.00919141	0.00872599	0.00845732	0.00801133	0.00779401	0.00750853	0.00733427	0.00718241	0.00673618	0.0067874	0.00657854	0.00620293	0.00603219	0.00594688	0.00573708	0.00575006	0.00538951	0.00530174	0.00514833	0.00506647	0.00513409	0.00502806	0.00470494	0.00470576	0.00462454	0.00450672	0.00439408	0.00432071	0.00429104	0.00424473	0.00417129	0.0042129	0.00393024	0.00393421	0.0038952	0.00376902	0.00372863	0.00361901	0.00358237	0.00350711	0.00354198	0.0034364	0.00336861	0.00331581	0.00327621	0.00317537	0.00331223	0.00304735	0.00314779	0.00309179	0.00299871	0.00298769	0.00296076	0.00292602	0.00279462	0	
0	0.13105	0.0926708	0.0696711	0.0549726	0.0448975	0.037625	0.0323454	0.0282754	0.0252005	0.0225344	0.0208398	0.0190389	0.017576	0.0163396	0.014874	0.0141603	0.0132106	0.0125999	0.0119543	0.0114366	0.0108241	0.010407	0.0100604	0.00952719	0.00913259	0.00867517	0.00848189	0.00825922	0.00777856	0.00748039	0.00730708	0.00720237	0.00705887	0.00676742	0.0066481	0.00635001	0.00603346	0.00600704	0.00579585	0.00546143	0.00548116	0.00542296	0.00526973	0.00514353	0.00518895	0.0050093	0.0048971	0.00488165	0.00469747	0.00448443	0.00439944	0.00442544	0.00420674	0.00419145	0.0040861	0.0041381	0.00405832	0.00400405	0.00384262	0.00387693	0.00374802	0.00362789	0.00351316	0.00353879	0.00337371	0.00340371	0.00335788	0.00342915	0.00330217	0.00324226	0.00324669	0.00308333	0.0030289	0.00304994	0.0030209	0.00302946	0.00292309	0.00295929	0.00288537	0	
