d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	
0	0.0534558	0.0453604	0.0407766	0.0369355	0.0338959	0.0312642	0.0295204	0.027768	0.0264938	0.0247507	0.023581	0.0224889	0.0213885	0.0204658	0.0192962	0.0185258	0.0180479	0.0170506	0.0164477	0.0158564	0.0152601	0.0144426	0.0143834	0.0136436	0.0134081	0.0128282	0.0124046	0.011738	0.0116984	0.0111471	0.0109521	0.0107053	0.0103495	0.0102059	0.00935836	0.00947991	0.00916376	0.00902988	0.00872819	0.00865262	0.00834186	0.00804917	0.00802646	0.00784798	0.0073174	0.0076216	0.00719356	0.00713903	0.00701196	0.00670713	0.00677541	0.00651699	0.00657079	0.00641759	0.00632618	0.00613805	0.00604852	0.00580934	0.00585382	0.00569076	0.00546494	0.00538181	0.00531137	0.00510734	0.00516793	0.00509563	0.00501868	0.00496082	0.00491972	0.00486417	0.00478788	0.00461481	0.00460202	0.00444508	0.00448887	0.00444469	0.00442767	0.00426517	0.00427765	0	
0	0.0506304	0.0445071	0.0404171	0.0368987	0.0341538	0.0316889	0.0295451	0.0278903	0.0262404	0.0249201	0.0236639	0.0225311	0.0216279	0.0208179	0.0195979	0.0186333	0.0179914	0.0171494	0.0166271	0.0159054	0.0152566	0.0146762	0.014381	0.0135626	0.0131173	0.0129329	0.0123743	0.0120451	0.0114981	0.0113226	0.0109993	0.0105159	0.010262	0.0100501	0.00990515	0.00946749	0.00924688	0.00876208	0.00872083	0.00865095	0.00832926	0.00800479	0.00825201	0.00780853	0.00777031	0.00738118	0.0073158	0.00720275	0.00717869	0.00682343	0.00657444	0.00669359	0.0065101	0.00639192	0.00609352	0.00596146	0.0060968	0.00591668	0.00576187	0.00574324	0.00568048	0.0054148	0.00541699	0.0052951	0.00534153	0.00524988	0.00508878	0.00503772	0.00486056	0.00478991	0.00476228	0.00482113	0.00451104	0.00468386	0.00458535	0.00447017	0.004489	0.00437656	0.00413	0	
0	0.0527248	0.0452748	0.0408893	0.0371024	0.0339925	0.0323023	0.0298254	0.0281251	0.0264694	0.0251678	0.0238712	0.0226495	0.0213431	0.0207294	0.0196705	0.0187269	0.0176817	0.0169469	0.0162661	0.0157352	0.0150665	0.0150176	0.0141457	0.013785	0.0128866	0.0129902	0.0121567	0.0118672	0.0113322	0.0110744	0.0107044	0.0104706	0.0100942	0.00979805	0.00967006	0.00956136	0.00917959	0.00892238	0.00836221	0.00870962	0.00802977	0.00813984	0.00791741	0.00784144	0.00743091	0.00713132	0.00717873	0.00705455	0.00672255	0.00668394	0.00667692	0.00651975	0.00633199	0.00645722	0.00603176	0.00625722	0.00593206	0.00611436	0.00570046	0.00561013	0.0054645	0.00535217	0.00530007	0.00535933	0.00533206	0.00532663	0.00497613	0.00495837	0.00499839	0.00475803	0.00483661	0.00476176	0.00487536	0.00482088	0.00434263	0.00441052	0.00443542	0.00432367	0.00431632	0	
0	0.0525604	0.0459391	0.0409047	0.0378161	0.0346024	0.0323277	0.0299491	0.0280792	0.026995	0.0250685	0.0238514	0.0225374	0.0212496	0.0205409	0.0193808	0.0184916	0.0179373	0.0171848	0.0163698	0.015917	0.015245	0.0145494	0.0142703	0.0137295	0.013195	0.0126997	0.012235	0.011691	0.0115752	0.0112142	0.0106102	0.0103056	0.010104	0.00981671	0.00951544	0.00943392	0.0090589	0.00887262	0.00847072	0.00817038	0.00809231	0.00805313	0.0078018	0.00765839	0.00751477	0.00737777	0.00710274	0.00690469	0.00680592	0.00686012	0.00687117	0.00635053	0.00633462	0.00637351	0.00625387	0.00612136	0.00609321	0.00571114	0.00578059	0.00570423	0.00544784	0.00544955	0.00542756	0.00508579	0.00508887	0.00511862	0.00495163	0.00492907	0.00491171	0.00478123	0.00483436	0.00467161	0.0045526	0.00461986	0.00452293	0.00444488	0.00429458	0.00443505	0.00420074	0	
0	0.0523811	0.0451077	0.0404358	0.0371413	0.0342698	0.0318431	0.0296682	0.0278671	0.0263795	0.0250149	0.0235016	0.0224573	0.0211733	0.0204199	0.0194432	0.0186899	0.0179335	0.0170129	0.0164236	0.0157209	0.0152923	0.0146889	0.0142618	0.0137087	0.013172	0.0127505	0.0121264	0.0120395	0.0115661	0.0109257	0.0108417	0.0103597	0.0104995	0.0100839	0.0098392	0.00944379	0.00907279	0.00904088	0.00854722	0.00835139	0.00812329	0.00813745	0.00781491	0.00774553	0.00773532	0.00745919	0.00745541	0.00698942	0.00698888	0.00663059	0.00685935	0.00663978	0.00637965	0.00636869	0.0062001	0.00622045	0.00617609	0.0059682	0.00584053	0.00561846	0.00552933	0.00536448	0.00555941	0.0053172	0.00536469	0.0051511	0.0049807	0.00504395	0.00486349	0.00482586	0.00476921	0.00473944	0.00464989	0.00463554	0.00470175	0.0045559	0.00431606	0.00438124	0.00440288	0	
0	0.0513766	0.0447892	0.0404517	0.0365635	0.0341184	0.0318777	0.0295915	0.0277311	0.0263141	0.0250551	0.0237005	0.0225206	0.0213915	0.0204676	0.0190886	0.0187375	0.0178491	0.0173016	0.0160825	0.0157993	0.0152249	0.0147708	0.0140719	0.013853	0.0132497	0.012802	0.0127409	0.0117287	0.0116813	0.0109902	0.0107696	0.010516	0.0102441	0.00986294	0.00978927	0.00945567	0.00930107	0.00921388	0.00869496	0.00867514	0.00842145	0.0083662	0.00805182	0.00781382	0.00771538	0.00739728	0.00725709	0.00711133	0.00696438	0.00661278	0.00668124	0.00645169	0.00682264	0.00636166	0.00620908	0.0062059	0.00596268	0.00593207	0.00579785	0.00572076	0.00539614	0.00563196	0.00542869	0.00534764	0.00507881	0.00534208	0.00494932	0.0050033	0.00506553	0.00496769	0.00489073	0.00474168	0.00488741	0.00476016	0.0046102	0.00445548	0.00450011	0.00441829	0.00422432	0	
0	0.0511888	0.0441957	0.0401374	0.0372575	0.0343339	0.0317387	0.0296964	0.0279055	0.0264137	0.0251731	0.023516	0.0226911	0.0214703	0.0204027	0.0196259	0.0188666	0.0176228	0.0170836	0.0167243	0.0157638	0.0151264	0.0146008	0.0145078	0.013695	0.0133657	0.0127267	0.0123042	0.0119512	0.0114941	0.0112368	0.0107936	0.0106079	0.0104043	0.0100389	0.00977405	0.00956095	0.00911634	0.00900559	0.00863335	0.0086604	0.00826784	0.00799169	0.00791687	0.00788406	0.00760894	0.00743469	0.00744242	0.00722466	0.00692585	0.0068754	0.00661111	0.00642424	0.00633648	0.00642102	0.00632151	0.00607005	0.00619486	0.00576959	0.00575636	0.00567779	0.00568233	0.0054255	0.00527197	0.00551865	0.00539843	0.00510009	0.00501323	0.00511333	0.00484644	0.00492316	0.00474611	0.00473818	0.00459712	0.00465051	0.00464138	0.00473236	0.00431112	0.00427689	0.00444573	0	
0	0.0569058	0.0475281	0.0415359	0.0380176	0.034511	0.0320145	0.0296471	0.0283313	0.0262257	0.0246129	0.0236734	0.0223384	0.0215748	0.0204503	0.0195452	0.0185146	0.0178803	0.016912	0.0160994	0.0155505	0.0150795	0.0143905	0.0137705	0.013506	0.0128986	0.0125563	0.012164	0.0116227	0.0112685	0.0110615	0.0108477	0.010315	0.0100136	0.00984432	0.009474	0.00924808	0.00891931	0.0088795	0.00843525	0.00838684	0.00813601	0.00821557	0.00778048	0.00759978	0.00750044	0.00739906	0.00701917	0.0071046	0.00686763	0.00665832	0.00652126	0.00635387	0.00634318	0.00626061	0.00606507	0.00597836	0.00570394	0.00565345	0.00570768	0.00549866	0.00532072	0.0053586	0.00535019	0.00517065	0.00525091	0.0051503	0.00503011	0.00481298	0.00482957	0.00468719	0.00458796	0.00479783	0.00448568	0.00458022	0.00447287	0.00461274	0.00431985	0.00416784	0.00409601	0	
0	0.0539216	0.0458677	0.0407376	0.036367	0.0334956	0.0312626	0.0296461	0.0278036	0.0262938	0.024588	0.0233821	0.0222993	0.0211376	0.0203858	0.0195267	0.0186497	0.017818	0.0169791	0.0165248	0.0158272	0.0150545	0.0147409	0.0141279	0.0137497	0.0130094	0.012795	0.0125327	0.011901	0.0116284	0.0112027	0.0110215	0.010351	0.0101686	0.00980525	0.00969076	0.00932697	0.00923988	0.00883739	0.00897252	0.00852251	0.0086251	0.00792494	0.00787369	0.00770479	0.00756844	0.00735322	0.00713232	0.0069978	0.0071755	0.00681237	0.00672555	0.00665259	0.00656312	0.006347	0.00616054	0.00613187	0.00604146	0.00609514	0.00570677	0.00571307	0.00563597	0.00556425	0.00542177	0.0052797	0.00531369	0.00526946	0.00509723	0.00494029	0.0049359	0.00487627	0.00489733	0.00478271	0.00482177	0.00445764	0.00441262	0.00438711	0.00453862	0.00444475	0.00442534	0	
0	0.052412	0.0451283	0.040774	0.0370672	0.0341012	0.0317507	0.0296972	0.0278428	0.0263785	0.0249916	0.0235888	0.0225303	0.0216642	0.0203134	0.0194705	0.0187832	0.0179087	0.0172217	0.016368	0.0159999	0.0151017	0.0146599	0.0141325	0.0135184	0.0132999	0.0126029	0.0123625	0.0120292	0.011695	0.0112353	0.0109339	0.0103355	0.0102187	0.00987451	0.00979854	0.0093202	0.0091631	0.00883277	0.00863993	0.00829295	0.00832809	0.0082097	0.00794883	0.00768068	0.00772623	0.00732143	0.00724646	0.00695528	0.00703924	0.0068363	0.00675311	0.00656457	0.00651558	0.00608351	0.00633504	0.0060568	0.00589585	0.00587641	0.00570516	0.00572215	0.00556606	0.00561809	0.00544608	0.00534897	0.00526819	0.00497932	0.00517432	0.00503041	0.00499588	0.00481736	0.00482488	0.00462665	0.00467965	0.004427	0.00457298	0.00455054	0.00449885	0.0043435	0.00439122	0	
