d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	
0	0.129557	0.0928082	0.0699258	0.0551369	0.044872	0.0376457	0.0325598	0.0283473	0.0251429	0.0228762	0.0205779	0.0189424	0.017454	0.0161376	0.0153705	0.0145205	0.0135152	0.0127172	0.0117416	0.0112882	0.0107779	0.0102058	0.00995882	0.00943737	0.00927399	0.00876191	0.00834573	0.00814953	0.00795589	0.00763905	0.00747195	0.00707845	0.00693009	0.00668953	0.00649	0.00637225	0.00622451	0.00603991	0.00574347	0.00569622	0.00549727	0.00554325	0.00533304	0.0052291	0.00503654	0.00494708	0.00482099	0.0047052	0.0046901	0.00455571	0.00452115	0.00440954	0.00421923	0.00424083	0.00418685	0.00408394	0.00405099	0.00384133	0.00375671	0.00368185	0.00362408	0.00372226	0.00358961	0.00368319	0.00358737	0.00340271	0.00341744	0.00333125	0.00324232	0.00333543	0.00309693	0.00315871	0.00314751	0.00305394	0.0030326	0.00304802	0.00295195	0.00295955	0.0028855	0	
0	0.102369	0.0805949	0.0655529	0.054487	0.0459128	0.039296	0.0344391	0.0303757	0.0273244	0.0244074	0.0221197	0.020473	0.0189121	0.0176092	0.0160905	0.0151982	0.0141819	0.0136201	0.0127578	0.0124734	0.0116272	0.0111011	0.0106516	0.0101714	0.00996933	0.00949141	0.00888677	0.00890334	0.0084346	0.00813865	0.00779103	0.00762075	0.00731276	0.00705781	0.0068497	0.00668663	0.00668181	0.0064201	0.00639761	0.00626551	0.00609172	0.00585364	0.00571133	0.00557988	0.00522836	0.00525661	0.0051124	0.00515763	0.00498765	0.00494005	0.00475564	0.00482994	0.00456527	0.00462646	0.00464044	0.00434675	0.00429312	0.00420073	0.00409786	0.00417166	0.00390408	0.00399566	0.00385047	0.00374491	0.00363922	0.00377076	0.00370145	0.00358925	0.00352514	0.00348166	0.0035477	0.00347135	0.00340884	0.00335388	0.00327311	0.00324808	0.00324449	0.00299501	0.00315302	0	
0	0.106185	0.082525	0.0665183	0.054699	0.0459042	0.0390643	0.0340141	0.0301081	0.0268539	0.0240445	0.0221065	0.0202984	0.0186448	0.0173915	0.016243	0.0151362	0.0142317	0.0133572	0.0127079	0.012063	0.0113049	0.0110785	0.0105261	0.0101287	0.00965375	0.00930654	0.00895808	0.00871449	0.00851868	0.00800561	0.00789535	0.00749182	0.00730723	0.00714147	0.00696044	0.00665906	0.00652446	0.00623482	0.00625404	0.00596835	0.00603521	0.00560415	0.00563026	0.00539872	0.00539047	0.00536221	0.00513494	0.00504038	0.00508764	0.00475116	0.00481322	0.00471498	0.00458796	0.00451061	0.00438155	0.00435943	0.0042762	0.00418749	0.00399312	0.0039635	0.00396535	0.00380992	0.00381712	0.00384732	0.0037591	0.00374021	0.00364244	0.00358459	0.0035999	0.003409	0.00337403	0.00343312	0.00321678	0.00327562	0.00325655	0.00321246	0.00312898	0.00301524	0.00295958	0	
0	0.097595	0.0781506	0.0645059	0.0536597	0.0456366	0.0396752	0.0349261	0.0306407	0.0274218	0.0248176	0.0226744	0.0205706	0.0190882	0.0178508	0.0165611	0.0154643	0.01471	0.0138095	0.0130901	0.012188	0.0116859	0.0113564	0.0108814	0.0101367	0.009903	0.00962635	0.00919923	0.00914583	0.00857111	0.00824292	0.00797712	0.00782671	0.00763337	0.00719521	0.00710658	0.00678956	0.0067687	0.00656456	0.00635854	0.00625598	0.00605986	0.0059486	0.00584375	0.00559579	0.0054534	0.00536967	0.00531767	0.00527777	0.00493438	0.00490724	0.00489403	0.00497134	0.00459468	0.00459633	0.00453316	0.00434753	0.00438902	0.00446349	0.00411227	0.0040367	0.00407282	0.00393984	0.00399879	0.00388221	0.00388841	0.00381138	0.00369441	0.00358983	0.00366389	0.00364142	0.00342963	0.0034795	0.00354106	0.00347656	0.00329349	0.0032059	0.00324984	0.00315843	0.00307428	0	
0	0.134383	0.094395	0.0701289	0.0550009	0.0445935	0.037405	0.0321558	0.0280671	0.0252442	0.0225734	0.0204042	0.0189576	0.0172723	0.0160193	0.0150693	0.0140575	0.0130788	0.0125906	0.0120672	0.0114135	0.0107634	0.0101234	0.00984886	0.00925885	0.0088914	0.00875171	0.00831089	0.00819484	0.00765344	0.00754797	0.00733609	0.00701717	0.00689645	0.00656674	0.00637961	0.00631724	0.00606967	0.00568722	0.00562792	0.00563223	0.00532183	0.00524229	0.00515705	0.00521667	0.00494093	0.00493879	0.00487945	0.00465197	0.00462701	0.00451777	0.0043886	0.00449443	0.00432725	0.00421311	0.00399026	0.00401892	0.0039541	0.00385628	0.00388966	0.00385589	0.0037085	0.00363253	0.00348151	0.0034809	0.00348933	0.00341209	0.00339517	0.00338318	0.00320293	0.00322919	0.00323593	0.00308525	0.0030645	0.00303871	0.00299508	0.00308668	0.00298256	0.00294272	0.00291828	0	
0	0.122548	0.0900564	0.0687968	0.0548581	0.0451541	0.0383212	0.0330938	0.0290154	0.0255234	0.0231371	0.0211211	0.0193393	0.0179244	0.016494	0.0154594	0.0144646	0.0134842	0.0128472	0.0122351	0.011513	0.0111246	0.0106125	0.0100129	0.0096395	0.00929739	0.00888112	0.00875537	0.00837419	0.00791636	0.00778558	0.00756861	0.00731536	0.00703056	0.00676902	0.00661738	0.00670569	0.00614293	0.00611913	0.00606246	0.00575816	0.00575113	0.00552717	0.00530427	0.00546156	0.00519685	0.00497571	0.00492451	0.00490029	0.00471014	0.0046434	0.00441996	0.00447205	0.00448892	0.00424544	0.00419957	0.00410559	0.00400049	0.00398834	0.00400078	0.00379589	0.00382309	0.00375607	0.00360736	0.00359838	0.00352826	0.00352424	0.00346464	0.0033976	0.00333604	0.00331159	0.00322184	0.00324241	0.00318034	0.00316227	0.00299437	0.00300275	0.00295261	0.00297869	0.00293041	0	
0	0.0941942	0.0764851	0.0629892	0.0533146	0.0458058	0.039632	0.0346787	0.0306549	0.0275633	0.024894	0.0228349	0.0209071	0.0191442	0.0178615	0.0168992	0.0155679	0.0147539	0.0140951	0.0132444	0.0127852	0.0118511	0.0114077	0.0108091	0.0106652	0.00996415	0.00976254	0.00926868	0.00889061	0.00868004	0.00841714	0.00838396	0.00797613	0.00769346	0.00745634	0.0072938	0.00709316	0.00681315	0.00658303	0.00642658	0.00643361	0.00608108	0.00589045	0.00581828	0.00572235	0.00564782	0.00547607	0.00546315	0.00539404	0.00538542	0.00497891	0.00496227	0.00474966	0.00469637	0.00467089	0.00453783	0.00457611	0.00438933	0.0042928	0.00420235	0.00435853	0.0041678	0.00405889	0.00389271	0.00384857	0.00396401	0.00372826	0.00374763	0.00370729	0.00367265	0.00349123	0.00351824	0.00350619	0.00348724	0.00338052	0.00341698	0.00330114	0.00317165	0.00328148	0.00318908	0	
0	0.104257	0.0816426	0.0660117	0.0545233	0.0456956	0.0392989	0.0344428	0.030168	0.026811	0.0242163	0.0221344	0.020384	0.0187579	0.0174817	0.0161649	0.0153486	0.0143262	0.0136622	0.0126868	0.0120904	0.0114079	0.0111105	0.0105195	0.0102034	0.0096734	0.00930267	0.00912577	0.0088182	0.00814726	0.00808071	0.00793048	0.00767508	0.00737524	0.00720248	0.00694105	0.00698088	0.0064446	0.00646186	0.00634111	0.00598183	0.00598657	0.00579555	0.0055387	0.00573991	0.0053774	0.0053066	0.00514128	0.00506578	0.00498104	0.00487172	0.00463611	0.00470364	0.0045592	0.00452128	0.00437497	0.0043663	0.00427136	0.00424099	0.00401669	0.00410539	0.00394883	0.0040012	0.00387417	0.00379256	0.00371163	0.00376108	0.00366971	0.00360215	0.00350814	0.00352275	0.00340645	0.00329092	0.00345769	0.00334961	0.00321555	0.00321381	0.00316308	0.00295426	0.00312797	0	
0	0.0974401	0.0782362	0.0642765	0.0537432	0.0455454	0.0394691	0.0345785	0.0302073	0.0275381	0.0245223	0.0227601	0.0206186	0.0191117	0.0179966	0.0166763	0.0157714	0.0145384	0.0139536	0.012959	0.0125076	0.0117426	0.0113199	0.0107688	0.0103484	0.00978343	0.00983485	0.00920687	0.00896553	0.00853232	0.00821985	0.00801473	0.00773159	0.00762902	0.00726156	0.00713444	0.00680964	0.00675558	0.00655467	0.0065807	0.00616133	0.00622283	0.00595684	0.00589366	0.00562554	0.00557464	0.00532883	0.00529547	0.00510627	0.00512284	0.0049136	0.00489778	0.00483395	0.00468861	0.00485061	0.00438426	0.0043682	0.00427225	0.00429041	0.00416803	0.00422041	0.00403591	0.00403706	0.00395414	0.00406812	0.00384542	0.00385598	0.00373712	0.00357459	0.00372705	0.00347273	0.00351787	0.0033054	0.00342771	0.00337646	0.00326835	0.0033032	0.00325386	0.00319467	0.00322333	0	
0	0.112971	0.0860269	0.0680667	0.0548928	0.0457637	0.0386	0.0335788	0.0294428	0.0263518	0.0235834	0.021618	0.0194131	0.0185232	0.017124	0.0159007	0.0148545	0.0138267	0.0131258	0.0125384	0.0118829	0.0112472	0.0107132	0.0103695	0.00987385	0.00972155	0.00910123	0.00868926	0.00840901	0.00825291	0.00794456	0.0075588	0.00743898	0.00718692	0.00704516	0.00673971	0.00666996	0.00643543	0.00623024	0.00607084	0.0059486	0.00573019	0.00570673	0.00557627	0.00542407	0.00527524	0.00517148	0.00506262	0.00497108	0.00479636	0.00479541	0.0047226	0.00451096	0.00434874	0.00435797	0.00446682	0.00424673	0.00421164	0.00404562	0.00393729	0.00396463	0.00393634	0.0038418	0.00376624	0.00374016	0.00374318	0.00364838	0.00364737	0.00328633	0.00345723	0.00333297	0.003353	0.00326642	0.00318218	0.00317798	0.00321215	0.0031587	0.00314069	0.00306369	0.00299046	0	
