d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	
0	0.203705	0.101659	0.0675139	0.0506659	0.0405763	0.0338248	0.0289521	0.0251903	0.0223757	0.0200691	0.0182049	0.0167947	0.015421	0.0143779	0.0133017	0.0125868	0.0117512	0.0111923	0.0105584	0.00994655	0.00948942	0.0090419	0.00865821	0.00841574	0.00801018	0.00770538	0.00727518	0.00719351	0.00686882	0.00664045	0.00664155	0.00622505	0.00600791	0.00598411	0.00572588	0.00552661	0.005475	0.00536406	0.00504232	0.00494191	0.00479773	0.00488798	0.00461789	0.00456174	0.00449099	0.00445465	0.00424914	0.00419133	0.00409913	0.00398033	0.00387094	0.00393644	0.00369725	0.00370164	0.00362788	0.0036803	0.00342888	0.00341223	0.00330306	0.00330624	0.00333965	0.00329276	0.00312634	0.00319769	0.00303834	0.00307446	0.00298694	0.00297031	0.00285375	0.00284446	0.00286362	0.00277586	0.00278871	0.00277598	0.00261597	0.00267901	0.00251591	0.0024999	0.00256461	0	
0	0.203773	0.101501	0.0673382	0.0507104	0.0402573	0.0336828	0.0289396	0.0252774	0.0223958	0.0201692	0.018183	0.0167923	0.0155718	0.0142403	0.0133116	0.0125122	0.0118379	0.0110962	0.0104988	0.0099506	0.00968879	0.00920297	0.00879451	0.00833127	0.00800518	0.00779208	0.0074109	0.00711361	0.00696773	0.00666305	0.00644845	0.00630111	0.00600011	0.00585886	0.00579626	0.00559802	0.00557995	0.0052268	0.00505771	0.00507268	0.00484234	0.00476057	0.00475637	0.00464758	0.00451476	0.00435872	0.00412971	0.00424593	0.00410075	0.00402419	0.00400768	0.00379613	0.00377363	0.00378698	0.00362478	0.00357755	0.00355257	0.00351994	0.00353844	0.00331235	0.00316705	0.00318876	0.00317681	0.00306969	0.00305329	0.00296675	0.00304345	0.00293166	0.00280883	0.00282677	0.00279073	0.00279887	0.00278809	0.00273172	0.00267491	0.00266634	0.00244158	0.00246327	0.00259109	0	
0	0.203144	0.101417	0.0675016	0.0505221	0.040455	0.0336412	0.0288203	0.0249858	0.0225512	0.0199536	0.0183818	0.0167538	0.0154257	0.0144228	0.0135644	0.0126151	0.011814	0.011049	0.010659	0.0100956	0.0095631	0.0090776	0.00882341	0.00845413	0.00788707	0.00767209	0.0074758	0.00719306	0.00696225	0.00669899	0.00649871	0.00624372	0.0060538	0.00594921	0.00566783	0.00573062	0.00544767	0.00526098	0.00520847	0.0049894	0.0049101	0.00480933	0.00467588	0.00466459	0.00438736	0.00434026	0.00422239	0.00416756	0.00410516	0.00403037	0.0039165	0.00386509	0.00378356	0.00363833	0.00360291	0.00363912	0.00358789	0.00345888	0.00340076	0.00334489	0.00327939	0.00319744	0.00320156	0.00312745	0.00314563	0.0031259	0.00289184	0.00294836	0.00292935	0.00286833	0.00281184	0.00268332	0.0027517	0.00273862	0.00273905	0.00260389	0.00266029	0.00258146	0.00253259	0	
0	0.202448	0.101338	0.0675199	0.0503886	0.0405922	0.0337997	0.0289108	0.0252606	0.0224277	0.0200607	0.0183629	0.0167175	0.0155723	0.0144464	0.0132885	0.0126721	0.0117617	0.0111553	0.0105571	0.0101753	0.00949612	0.00924885	0.00872201	0.00845075	0.00797875	0.00768915	0.00738682	0.00708522	0.00688664	0.00679034	0.00647443	0.00622467	0.00591176	0.00594121	0.00587839	0.00561336	0.00554239	0.00530199	0.00519459	0.00498817	0.00493831	0.00488986	0.00475863	0.00459701	0.00453248	0.00435861	0.004208	0.00410761	0.00402463	0.00404365	0.00390874	0.00376224	0.00375613	0.00370802	0.00363552	0.00361018	0.00360499	0.00352462	0.00334563	0.00341241	0.00335607	0.00315995	0.00315129	0.00321255	0.00304474	0.00305822	0.00311452	0.0029764	0.00291762	0.00292772	0.00285167	0.00279392	0.00275919	0.00275821	0.00275875	0.002548	0.00267499	0.00252024	0.00242836	0	
0	0.203691	0.101403	0.0677549	0.0507932	0.0404525	0.0336612	0.0289579	0.0252987	0.0224334	0.0200471	0.0181656	0.016622	0.0155251	0.0142672	0.0135395	0.0125081	0.0117292	0.0111472	0.0106991	0.00990674	0.00949625	0.00910873	0.00863108	0.00852656	0.0079674	0.00764629	0.00748207	0.00713854	0.00699654	0.00662476	0.00642101	0.00623956	0.00611179	0.00588733	0.00569986	0.0055131	0.00539593	0.00526118	0.0051183	0.00503616	0.00489204	0.00477789	0.00468089	0.00449806	0.00441386	0.00429386	0.00424767	0.00424721	0.00412948	0.0039801	0.00392668	0.0038306	0.00377493	0.00368311	0.00363376	0.00357054	0.00347725	0.0034566	0.00343494	0.00324871	0.00333923	0.00326887	0.0032183	0.00306067	0.00316756	0.00300418	0.00294188	0.00285898	0.00287748	0.00283944	0.00285968	0.00281183	0.00283389	0.00272085	0.00261906	0.00269362	0.00267293	0.00252208	0.00258615	0	
0	0.203319	0.101599	0.0674919	0.0507855	0.0405464	0.0338915	0.029082	0.0251262	0.0225099	0.0200584	0.018262	0.0166696	0.0153552	0.0142221	0.0136263	0.0127375	0.0117709	0.0111387	0.0105345	0.0101214	0.00959441	0.0091593	0.00875021	0.00836926	0.00786905	0.00767674	0.00734906	0.00705745	0.00687618	0.00675504	0.00636707	0.00626103	0.00601939	0.0057489	0.00568081	0.00552842	0.00549537	0.0051627	0.00524804	0.00506186	0.00493005	0.00468682	0.00474059	0.00453445	0.00445743	0.00421124	0.00424033	0.00418297	0.00407514	0.00410172	0.00387672	0.00379697	0.00374506	0.00367962	0.00354117	0.00359487	0.00358496	0.00347847	0.00341077	0.00339819	0.0033216	0.00330689	0.00312716	0.00317066	0.00319646	0.00297994	0.00293976	0.00284791	0.00293498	0.00281879	0.00290351	0.00271796	0.00283163	0.00279614	0.0027133	0.00260977	0.00259322	0.00251881	0.00252614	0	
0	0.203266	0.101711	0.0676257	0.0504876	0.0404775	0.0336632	0.0288996	0.025333	0.0222953	0.020054	0.0182525	0.0167802	0.0154277	0.0143716	0.0133418	0.0125481	0.0117068	0.0111938	0.0106797	0.0100803	0.00958934	0.00919683	0.00864417	0.00843562	0.00805194	0.00772665	0.00748212	0.00720216	0.00689127	0.0066112	0.00653076	0.00621183	0.00603556	0.00597552	0.00578107	0.00564107	0.00539342	0.00532061	0.00507119	0.00492483	0.00478047	0.00474092	0.00462329	0.0046179	0.00440191	0.00435287	0.00426207	0.00413482	0.0041165	0.00398744	0.00385116	0.00392495	0.00379712	0.00371174	0.00367433	0.00357702	0.0034435	0.00341511	0.0033977	0.00341231	0.00335176	0.00322016	0.00308029	0.00307153	0.00303768	0.00299819	0.00295102	0.0029503	0.00293586	0.00275473	0.0028948	0.00291854	0.00274481	0.00277165	0.00268374	0.00262564	0.00266421	0.00266571	0.00254409	0	
0	0.203289	0.101546	0.067721	0.050705	0.0405303	0.0337285	0.0286995	0.0252163	0.0224173	0.0199185	0.0183689	0.0166688	0.015324	0.0144396	0.0133723	0.0125803	0.011831	0.0112256	0.0106414	0.0100354	0.00955404	0.00907927	0.0088305	0.00834985	0.00803138	0.00765774	0.00744485	0.0071332	0.00702482	0.00665389	0.00634649	0.00634495	0.00607853	0.00583977	0.00591439	0.00548397	0.00551423	0.00527971	0.00507019	0.00487298	0.00489261	0.00479269	0.00474658	0.00452178	0.00461813	0.00435661	0.00424889	0.00421679	0.00399583	0.00403262	0.00396239	0.00374308	0.0037876	0.00371737	0.00368217	0.00367241	0.00349988	0.0034241	0.00340447	0.00340991	0.0032677	0.00326632	0.00314945	0.00307734	0.00309624	0.00299711	0.00293135	0.00291594	0.00286979	0.00278257	0.00283813	0.00275187	0.00268007	0.00272643	0.00268215	0.00266672	0.00261026	0.00257383	0.00262756	0	
0	0.203306	0.101439	0.0674997	0.0506687	0.0403342	0.0335204	0.0287031	0.0252138	0.0226128	0.0202762	0.0184913	0.016804	0.0156501	0.0141861	0.0133762	0.0127711	0.011744	0.0110166	0.0105001	0.00986483	0.00969597	0.00909498	0.00881487	0.00844375	0.00810783	0.00770518	0.00746849	0.00714502	0.00679185	0.00668951	0.00646558	0.00630899	0.00605098	0.00594115	0.00564742	0.00549948	0.00531715	0.00534015	0.00528072	0.00513164	0.00495195	0.00480205	0.00449536	0.00449739	0.00449138	0.00435402	0.00423438	0.00412333	0.00409176	0.00399733	0.00382818	0.00380481	0.00381717	0.00379397	0.00364444	0.00365	0.00356232	0.00342937	0.00345768	0.00324405	0.0033055	0.00319032	0.00319528	0.00324155	0.00307474	0.00300029	0.00310795	0.00303167	0.00300118	0.00291127	0.00283139	0.00278803	0.00270285	0.00263722	0.00262178	0.00257467	0.00254645	0.00248112	0.00256699	0	
0	0.203394	0.101477	0.0677713	0.050613	0.0404269	0.0339158	0.0286529	0.0252601	0.0221069	0.0198905	0.0181983	0.0168845	0.015473	0.0143702	0.0133209	0.0124911	0.0118794	0.0111787	0.0105135	0.0100945	0.00931437	0.0091929	0.00876334	0.0084146	0.00803619	0.00773624	0.00733167	0.0072247	0.00696815	0.00674367	0.00649154	0.00629061	0.00597028	0.00587825	0.00580254	0.00570516	0.0054405	0.00545109	0.00510452	0.00499916	0.00487473	0.00493201	0.00464631	0.00461228	0.00440331	0.00430978	0.0041874	0.00426086	0.00413689	0.00410591	0.00397024	0.00391611	0.00368628	0.00373698	0.00368895	0.00359017	0.00354574	0.00348229	0.00330561	0.00340118	0.00324443	0.00325057	0.0032068	0.00313771	0.00309337	0.00304324	0.00298472	0.00295358	0.00283809	0.00278608	0.00277128	0.00276108	0.00272773	0.00275971	0.00264949	0.00263782	0.00255895	0.00255744	0.00247356	0	
